"filename", "language", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "Markdown", "XML", "Prisma", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/Users/milek/Desktop/projekty/shortie/components/qr-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 7, 53
"/Users/milek/Desktop/projekty/shortie/components/sheets/link-details-sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 4, 32
"/Users/milek/Desktop/projekty/shortie/components/theme-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 5, 41
"/Users/milek/Desktop/projekty/shortie/components/ui/alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 15, 146
"/Users/milek/Desktop/projekty/shortie/components/ui/badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 6, 37
"/Users/milek/Desktop/projekty/shortie/components/ui/basic-tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"/Users/milek/Desktop/projekty/shortie/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 6, 59
"/Users/milek/Desktop/projekty/shortie/components/ui/calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 6, 65
"/Users/milek/Desktop/projekty/shortie/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 9, 80
"/Users/milek/Desktop/projekty/shortie/components/ui/checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"/Users/milek/Desktop/projekty/shortie/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 13, 124
"/Users/milek/Desktop/projekty/shortie/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 19, 201
"/Users/milek/Desktop/projekty/shortie/components/ui/form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 25, 177
"/Users/milek/Desktop/projekty/shortie/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"/Users/milek/Desktop/projekty/shortie/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 6, 27
"/Users/milek/Desktop/projekty/shortie/components/ui/popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 7, 32
"/Users/milek/Desktop/projekty/shortie/components/ui/scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 6, 49
